0.0000000e+000, 0.0000000e+000, 1.6200000e-002
1.0000000e+000, 8.8900000e-002, 1.6300000e-002
2.0000000e+000, 1.9350000e-001, 1.6700000e-002
3.0000000e+000, 2.9240000e-001, 1.7200000e-002
4.0000000e+000, 3.8800000e-001, 1.8100000e-002
5.0000000e+000, 4.7530000e-001, 1.9200000e-002
6.0000000e+000, 5.6150000e-001, 2.0600000e-002
7.0000000e+000, 6.2240000e-001, 2.2300000e-002
8.0000000e+000, 6.5890000e-001, 2.4200000e-002
9.0000000e+000, 6.6060000e-001, 2.6400000e-002
1.0000000e+001, 6.2480000e-001, 2.8800000e-002
1.1000000e+001, 5.5310000e-001, 3.1500000e-002
1.2000000e+001, 4.4080000e-001, 8.0000000e-002
1.3000000e+001, 3.3320000e-001, 1.1900000e-001
1.4000000e+001, 2.2560000e-001, 1.5800000e-001
1.5000000e+001, 2.1420000e-001, 1.7700000e-001
1.6000000e+001, 2.0270000e-001, 1.9600000e-001
1.7000000e+001, 2.3150000e-001, 2.1700000e-001
1.8000000e+001, 2.6030000e-001, 2.3800000e-001
1.9000000e+001, 3.0380000e-001, 2.6000000e-001
2.0000000e+001, 3.4720000e-001, 2.8200000e-001
2.1000000e+001, 3.9510000e-001, 3.0550000e-001
2.2000000e+001, 4.4300000e-001, 3.2900000e-001
2.5000000e+001, 5.9630000e-001, 4.0500000e-001
3.0000000e+001, 8.5500000e-001, 5.7000000e-001
3.5000000e+001, 9.8000000e-001, 7.4500000e-001
4.0000000e+001, 1.0350000e+000, 9.2000000e-001
4.5000000e+001, 1.0500000e+000, 1.0750000e+000
5.0000000e+001, 1.0200000e+000, 1.2150000e+000
5.5000000e+001, 9.5500000e-001, 1.3450000e+000
6.0000000e+001, 8.7500000e-001, 1.4700000e+000
6.5000000e+001, 7.6000000e-001, 1.5750000e+000
7.0000000e+001, 6.3000000e-001, 1.6650000e+000
7.5000000e+001, 5.0000000e-001, 1.7350000e+000
8.0000000e+001, 3.6500000e-001, 1.7800000e+000
8.5000000e+001, 2.3000000e-001, 1.8000000e+000
9.0000000e+001, 9.0000000e-002, 1.8000000e+000
